id,Date,Open,High,Low,Close,Volume,SMA-8,WMA-12
283,7/1/2013,66.09,66.49,65.82,66.24,6692200,65.09,64.93
284,7/2/2013,66.24,67.2,66.08,66.79,6765600,65.24,64.93
285,7/3/2013,66.43,67.68,66.4,67.3,5616400,65.54,65.15
286,7/5/2013,67.87,68,66.9,67.72,5189400,66.01,65.65
287,7/8/2013,67.94,68.82,67.88,68.29,8030000,66.44,66.07
288,7/9/2013,68.9,69,67.99,68.13,7460000,66.79,66.32
289,7/10/2013,67.87,68.12,67.45,68.1,8090800,67.14,66.68
290,7/11/2013,68.68,69.52,68.35,69.34,8385800,67.51,67.18
291,7/12/2013,69.24,69.72,68.78,69.72,9706600,67.95,67.61
292,7/15/2013,69.69,69.9,69.53,69.66,6180600,68.37,68
293,7/16/2013,69.64,69.72,69.08,69.52,6068200,68.71,68.36
294,7/17/2013,69.74,69.82,67.89,68.2,12147400,68.97,68.67
295,7/18/2013,68.45,69.01,68.04,68.48,8537800,68.95,68.83
296,7/19/2013,68.57,69.11,68.4,68.79,7197000,69,69.05
297,7/22/2013,69.08,69.21,68.55,69.02,6559800,69.1,69.3
298,7/23/2013,69.24,69.32,67.45,67.66,8466200,69.06,69.23
299,7/24/2013,68.12,68.43,66.3,66.61,14034200,68.76,68.99
300,7/25/2013,66.94,68.3,66.73,68.17,15978400,68.33,68.66
301,7/26/2013,72.6,73.52,71.85,73.36,32293400,68.13,68.31
302,7/29/2013,72.75,73.08,72.1,72.45,12800800,68.87,68.48
303,7/30/2013,72.9,72.98,71.71,71.93,9808800,69.44,68.72
304,7/31/2013,72.14,72.5,71.22,71.29,11248400,69.89,68.99
305,8/1/2013,72.27,73.73,72.08,73.48,12854600,70.21,69.29
306,8/2/2013,73.5,74.27,73.16,74.23,9416800,71.04,70.13
307,8/5/2013,74.22,74.27,73.71,73.97,7606200,72.13,71.51
308,8/6/2013,73.66,73.85,72.78,72.8,7956000,72.96,72.71
309,8/7/2013,72.36,73.15,72.17,72.19,7066000,72.88,72.59
310,8/8/2013,72.77,73.4,72.4,72.94,5923800,72.84,72.69
311,8/9/2013,72.59,73.23,72.52,72.8,5366400,72.99,72.95
312,8/12/2013,72.28,73.13,72.25,72.93,5472400,73.2,73.43
313,8/13/2013,73.09,73.09,71.93,72.64,5377800,73.12,73.34
314,8/14/2013,72.58,72.58,71.79,71.85,4932000,72.9,73.01
315,8/15/2013,71.31,71.35,70.31,70.74,7198800,72.59,72.66
316,8/16/2013,70.98,71.39,70.55,70.71,6929800,72.3,72.54
317,8/19/2013,70.58,71.3,70.18,70.29,6349200,72.09,72.51
318,8/20/2013,70.36,71.03,70.11,70.66,6045000,71.71,72.2
319,8/21/2013,70.42,71.4,70.28,70.71,6917000,71.4,71.85
320,8/22/2013,71.08,72.26,71.01,71.9,5399600,71.09,71.39
321,8/23/2013,72.06,72.19,71.58,71.97,5869800,70.98,70.98
322,8/26/2013,72.07,72.21,71.6,71.88,4929400,71,70.77
323,8/27/2013,70.9,71.37,70.11,70.16,8025200,71.16,70.87
324,8/28/2013,70.09,71.32,69.86,70.96,6249800,71.08,70.96
325,8/29/2013,70.73,71.84,70.5,71.18,5510000,71.18,71.19
326,8/30/2013,71.38,71.4,70.33,70.52,5665000,71.25,71.33
327,9/3/2013,71.7,72.14,71.19,71.6,7249400,71.22,71.46
328,9/4/2013,71.42,72.27,71.09,72.14,6502200,71.18,71.28
329,9/5/2013,72.25,72.76,72.01,72.05,4931200,71.21,71.09
330,9/6/2013,72.37,72.65,70.93,71.57,6356600,71.23,70.93
331,9/9/2013,71.68,72.49,71.67,72.44,4936800,71.43,71.25
332,9/10/2013,72.98,74.32,72.93,74.22,11779000,71.64,71.42
333,9/11/2013,74.33,75.5,74.33,75.39,9982400,72.08,71.64
334,9/12/2013,75.5,75.91,75.12,75.67,7628600,72.77,72.2
335,9/13/2013,75.59,75.7,74.65,75.57,5767400,73.35,72.64
336,9/16/2013,76.57,76.6,74.86,75.24,8708400,73.84,73.07
337,9/17/2013,75.26,76.24,75.17,76.04,6660600,74.3,73.63
338,9/18/2013,75.88,77.62,75.55,77.33,9487000,74.94,74.47
339,9/19/2013,77.52,77.84,76.3,76.35,8041600,75.64,75.27
340,9/20/2013,76.26,77,76.07,76.12,9635400,75.94,75.7
341,9/23/2013,76.11,76.38,75.07,75.36,6783800,76.05,75.87
342,9/24/2013,75.53,77.31,75.48,76.55,7736000,76,75.95
343,9/25/2013,76.84,77.01,76.07,76.34,7251800,76.14,76.09
344,9/26/2013,76.64,77.28,76.32,77.18,4988800,76.3,76.36
345,9/27/2013,76.91,77.48,76.4,77.33,6200200,76.46,76.46
346,9/30/2013,76.5,77.08,76.05,76.97,8861200,76.46,76.25
347,10/1/2013,76.98,77.34,76.56,77.16,5205200,76.55,76.3
348,10/2/2013,76.59,77.23,76.21,77.19,6088400,76.7,76.44
349,10/3/2013,76.96,77.46,76.32,76.87,8266400,76.96,76.84
350,10/4/2013,76.8,77.46,76.51,77.4,5226600,77.01,76.95
351,10/7/2013,76.6,77.39,76.41,76.86,5106800,77.16,77.16
352,10/8/2013,77.11,78.03,75.44,75.53,12637800,77.11,77.14
353,10/9/2013,75.39,75.8,74.45,75.26,9482000,76.85,77.02
354,10/10/2013,76.29,77.31,76.13,77.12,6625800,76.61,76.93
355,10/11/2013,77.22,77.84,76.88,77.82,5530400,76.6,76.79
356,10/14/2013,77.54,78.32,77.25,78.1,5986600,76.69,76.67
357,10/15/2013,77.83,77.9,76.6,76.71,8135200,76.87,76.67
358,10/16/2013,77.2,78.22,76.89,78.04,10104000,76.77,76.51
359,10/17/2013,77.67,78.85,77.45,78.74,6551000,76.94,76.53
360,10/18/2013,79.27,79.67,78.97,79.31,9050000,77.4,77
361,10/21/2013,79.11,79.91,78.67,79.46,6770200,77.98,77.68
362,10/22/2013,79.9,81.08,79.6,80.9,8419600,78.31,77.98
363,10/23/2013,80.45,80.85,79.89,80.05,7892200,78.75,78.21
364,10/24/2013,79.36,79.44,78.51,79.05,13504600,79.03,78.44
365,10/25/2013,79.47,80,79.27,79.96,7251800,79.36,79.11
366,10/28/2013,80.2,80.43,78.53,78.71,11242800,79.64,79.51
367,10/29/2013,79.21,79.62,79.05,79.62,7898400,79.63,79.73
368,10/30/2013,80.63,80.85,79.76,80.83,17518800,79.68,79.82
369,10/31/2013,78.69,81.62,78.57,81.05,20491600,79.87,79.92
370,11/1/2013,81.54,81.54,79.67,80.37,12005200,79.9,79.67
371,11/4/2013,80.75,80.78,80.21,80.37,8283800,79.94,79.65
372,11/5/2013,80.36,82.34,80.15,81.99,10090200,80.13,79.92
373,11/6/2013,82.39,82.5,80.97,81.13,8562200,80.42,80.03
374,11/7/2013,81.3,81.35,79,79.07,13283200,80.77,80.55
375,11/8/2013,79.51,81.25,79.4,81.2,11487800,80.69,80.81
376,11/11/2013,81.2,81.42,80.98,80.99,5133600,80.74,80.79
377,11/12/2013,80.76,81.05,80.12,80.61,6613000,80.73,80.71
378,11/13/2013,79.24,81.5,79.19,81.46,12519000,80.77,80.81
379,11/14/2013,81.53,81.54,80.79,81.14,7647600,80.92,80.95
380,11/15/2013,81.25,81.45,80.78,81.19,6445400,80.8,80.65
381,11/18/2013,81.02,81.34,80.21,80.54,8316400,80.81,80.57
382,11/19/2013,80.01,80.92,79.86,79.92,8726000,81.02,81.06
383,11/20/2013,80.13,80.25,79.32,79.69,8733800,80.84,80.97
384,11/21/2013,79.8,81.65,79.75,81.53,13131800,80.65,80.88
385,11/22/2013,81.7,81.7,81.1,81.35,7919200,80.78,80.92
386,11/25/2013,81.37,81.48,80.51,80.71,9001200,80.77,80.75
387,11/26/2013,80.86,81.65,80.41,81.51,8767800,80.7,80.64
388,11/27/2013,81.39,81.91,81.2,81.62,4752000,80.75,80.53
389,11/29/2013,81.85,82.37,81.37,81.46,4387200,80.9,80.62
390,12/2/2013,81.49,81.69,80.91,81.07,5773200,81.12,80.92
391,12/3/2013,80.74,81.16,80.29,80.55,7893200,81.32,81.33
392,12/4/2013,80.39,80.72,79.44,79.5,10204600,81.18,81.24
393,12/5/2013,79.56,80.25,79.33,79.72,6569200,80.92,81.13
394,12/6/2013,80.6,80.75,79.71,79.94,6721200,80.78,81.15
395,12/9/2013,80.26,80.46,79.61,79.73,7920600,80.55,80.91
396,12/10/2013,78.99,79.07,76.68,77.38,26320600,80.28,80.58
397,12/11/2013,77.6,78,76.29,76.4,15752000,79.7,80.14
398,12/12/2013,76.28,77.09,76,76.48,9651000,79.03,79.63
399,12/13/2013,76.83,76.93,76.09,76.35,8041000,78.45,79.1
400,12/16/2013,76.03,76.98,75.91,76.46,9345400,78,78.73
401,12/17/2013,76.58,76.58,75.91,76.09,7003600,77.53,78.18
402,12/18/2013,76.13,77.69,76.1,77.68,10252000,76.98,77.44
403,12/19/2013,78.24,78.5,77.02,77.15,11402200,76.69,76.68
404,12/20/2013,77.52,77.98,77.24,77.66,12707400,76.66,76.5
405,12/23/2013,77.97,78.34,77.35,78.32,7621600,76.84,76.61
406,12/24/2013,78.1,78.75,77.95,78.57,3896600,77.1,76.77
407,12/26/2013,78.73,79.03,78.44,78.88,4391400,77.42,77.03
408,12/27/2013,79.29,79.3,78.46,78.57,4505000,77.76,77.36
409,12/30/2013,78.79,78.83,77.86,78.55,4733400,78.12,77.87
410,12/31/2013,78.43,78.78,78.01,78.39,6016200,78.24,78.01
411,1/2/2014,78.07,78.27,77.01,77.17,8487200,78.42,78.33
412,1/3/2014,77.3,77.77,76.94,76.95,6545000,78.35,78.5
413,1/6/2014,76.9,77.35,76.01,76.17,10585400,78.15,78.46
414,1/7/2014,76.65,77.41,76.47,77.21,8162200,77.81,78.27
415,1/8/2014,77.28,78.15,77.19,78.03,10178800,77.57,77.94
416,1/9/2014,78.07,78.1,76.8,77.6,8361200,77.5,77.67
417,1/10/2014,77.56,77.99,76.95,77.67,6467000,77.36,77.37
418,1/13/2014,77.38,77.39,74.76,75.12,14644800,77.26,77.09
419,1/14/2014,75.12,76.36,74.75,75.46,18653200,76.96,77.04
420,1/15/2014,75.54,76.33,75.41,76.19,8660200,76.75,76.99
421,1/16/2014,75.82,76.19,75.13,75.29,9072600,76.75,77.14
422,1/17/2014,75,75.46,74.67,74.9,12937400,76.48,76.95
423,1/21/2014,75.05,75.07,73.26,73.65,18774600,76.03,76.45
424,1/22/2014,73.95,74.2,73.54,73.6,13969400,75.47,75.92
425,1/23/2014,73.48,73.73,71.68,73.39,29936000,74.89,75.23
426,1/24/2014,74.73,76.16,74.11,74.98,33049000,74.64,75.11
427,1/27/2014,75.23,75.23,74.02,74.21,18207200,74.57,74.88
428,1/28/2014,74.57,74.8,73.67,73.89,11091600,74.29,74.41
429,1/29/2014,73.5,73.66,71.46,71.56,15959800,74.09,74.11
430,1/30/2014,72.28,72.43,71.31,71.91,15179800,73.61,73.79
431,1/31/2014,70.89,71.94,70.87,71.12,12256600,73.36,73.71
432,2/3/2014,71,71.51,68.67,68.97,20311000,73.01,73.57
433,2/4/2014,70,71.2,69.37,70.65,20440800,72.38,73.31
434,2/5/2014,70.09,70.74,69.61,70.49,10956000,71.76,72.51
435,2/6/2014,70.66,72.8,70.56,72.36,13818400,71.23,71.76
436,2/7/2014,73.61,74.49,72.69,74.04,14657600,71.01,71.04
437,2/10/2014,74.31,75.18,74.31,74.8,12944600,71.36,70.99
438,2/11/2014,74.87,75.19,73.79,74.5,16124000,71.78,70.96
439,2/12/2014,74.49,75.06,73.7,73.91,9956600,72.26,71.24
440,2/13/2014,73.56,74.69,73.39,74.69,8447800,72.96,72.24
441,2/14/2014,74.35,75.09,74.01,75.03,8241000,73.54,72.96
442,2/18/2014,74.99,75,73.94,73.97,10923400,74.19,73.89
443,2/19/2014,73.84,74.28,73.23,73.32,9770600,74.42,74.4
444,2/20/2014,73.4,73.71,72.48,73.55,8552600,74.32,74.47
445,2/21/2014,73.78,73.86,72.52,72.56,11288200,74.14,74.31
446,2/24/2014,72.66,72.88,72.02,72.56,11933800,73.86,74.15
447,2/25/2014,72.5,72.66,70.55,70.55,18618400,73.67,74.09
448,2/26/2014,70.8,72.22,69.95,71.78,19129200,73.08,73.69
449,2/27/2014,71.62,72.24,71.43,72.19,11288200,72.61,73.08
450,2/28/2014,71.54,71.93,70.5,70.96,22464800,72.36,72.68
451,3/3/2014,70.01,70.73,70,70.47,12248400,72.02,72.35
452,3/4/2014,71.43,71.96,71.05,71.66,12226200,71.58,71.86
453,3/5/2014,71.99,72.09,70.88,71.3,9715600,71.45,71.58
454,3/6/2014,71.83,73.33,71.77,72.69,13762600,71.27,71.26
455,3/7/2014,72.99,73.1,72.21,73.07,8386000,71.58,71.52
456,3/10/2014,73.25,73.64,72.79,73.56,8633800,71.76,71.52
457,3/11/2014,73.99,75.41,73.85,75.03,18344400,71.96,71.46
458,3/12/2014,74.55,75.66,74.5,75.63,10394600,72.54,71.85
459,3/13/2014,75.84,76.42,74.03,74.43,11380800,73.28,72.55
460,3/14/2014,74.09,74.89,74.02,74.27,8962600,73.67,73.06
461,3/17/2014,74.81,74.99,73.82,74.18,11019800,74.1,73.76
462,3/18/2014,74.35,74.84,74.05,74.6,5997600,74.31,74.16
463,3/19/2014,75,77.33,74.82,75.91,24983200,74.53,74.53
464,3/20/2014,76.29,77.13,75.6,76.96,13851400,74.86,74.85
465,3/21/2014,78.21,78.64,76.62,76.71,18034400,75.14,74.88
466,3/24/2014,76.9,77.11,75.21,75.77,10018800,75.29,74.8
467,3/25/2014,76.44,76.51,74.29,74.61,10568200,75.49,75.06
468,3/26/2014,74.93,74.99,73.52,73.54,8371200,75.53,75.38
469,3/27/2014,73.07,73.96,72.69,73.4,12675600,75.44,75.69
470,3/28/2014,73.29,74.06,73.05,73.7,6582800,75.27,75.86
471,3/31/2014,73.9,74.4,73.17,73.38,7721800,74.96,75.62
472,4/1/2014,73.64,74.98,73.41,74.01,8740800,74.44,74.99
473,4/2/2014,74.35,74.37,73.24,73.67,8304400,74.06,74.33
474,4/3/2014,73.86,74.34,72.82,73.09,7165400,73.76,73.83
475,4/4/2014,73.55,73.89,71.32,71.55,11708600,73.54,73.56
476,4/7/2014,71.2,71.38,70.05,70.43,11089800,73.26,73.49
477,4/8/2014,70.64,71.69,70.5,71.48,10660800,72.83,73.35
478,4/9/2014,71.63,72.68,71.2,72.48,9055600,72.52,73.05
479,4/10/2014,72.74,72.74,70.17,70.22,13375400,72.39,72.8
480,4/11/2014,69.79,70.13,68.68,68.73,16367200,71.85,72.26
481,4/14/2014,69.63,70.04,68.7,69.31,12175400,71.14,71.63
482,4/15/2014,69.96,70.1,67.93,68.89,15461800,70.6,71.01
483,4/16/2014,69.65,70.88,69.16,70.79,11277400,70.22,70.67
484,4/17/2014,70.57,71.39,70.14,70.15,9245800,70.27,70.63
485,4/21/2014,70.31,70.6,69.85,70.48,6095600,70.08,70.28
486,4/22/2014,70.53,71.28,70.33,71.15,8862600,69.8,69.61
487,4/23/2014,71.46,71.47,70.22,70.39,8881600,69.93,69.54
488,4/24/2014,71.52,72.04,70.11,71.09,15577000,70.17,69.9
489,4/25/2014,72,72.25,70.94,71.45,18111400,70.42,70.18
490,4/28/2014,71.89,72.02,69.8,70.93,10733600,70.79,70.65
491,4/29/2014,71.18,71.45,70.27,70.64,9827200,70.81,70.66
492,4/30/2014,70.62,70.76,70.12,70.62,7282400,70.88,70.84
493,5/1/2014,70.75,71.2,70.32,71.12,7918400,70.9,70.94
494,5/2/2014,71.25,71.53,70.57,70.6,8306400,70.89,70.88
495,5/5/2014,70.5,71.06,70.18,70.92,5486400,70.92,71.01
496,5/6/2014,70.73,70.83,69.33,69.58,10926800,70.9,70.96
497,5/7/2014,69.78,70,69.14,69.74,10959800,70.63,70.76
498,5/8/2014,69.6,70.5,69.34,69.58,7531400,70.46,70.64
499,5/9/2014,69.7,70.31,69.52,70.29,6623200,70.31,70.56
500,5/12/2014,70.64,71.24,70.4,71.15,7227200,70.26,70.47
501,5/13/2014,70.97,71.34,70.9,71.16,5803000,70.27,70.25
502,5/14/2014,71.18,71.2,70.03,70.17,8585000,70.35,70.19
503,5/15/2014,70.26,70.33,69.28,69.85,9124600,70.24,70.02
504,5/16/2014,70,71.04,69.81,70.94,9294800,70.28,70.19
505,5/19/2014,70.56,71.12,70.28,71.02,6745000,70.45,70.37
506,5/20/2014,70.76,70.9,69.84,70.23,8699800,70.65,70.64
507,5/21/2014,70.71,70.75,70.07,70.4,6089200,70.65,70.73
508,5/22/2014,70.35,71.77,70.3,71.4,7359600,70.54,70.57
509,5/23/2014,72.29,72.51,71.83,71.98,7166400,70.57,70.43
510,5/27/2014,72.64,73.78,72.54,73.66,10100400,70.83,70.59
511,5/28/2014,73.3,73.57,72.92,73.27,8210000,71.38,70.97
512,5/29/2014,73.52,73.56,72.65,73.11,6448000,71.71,71.17
513,5/30/2014,73.16,73.5,72.53,73.24,6879200,72.01,71.41
514,6/2/2014,73.22,74.06,73.16,73.85,5926200,72.44,71.96
515,6/3/2014,73.72,74.35,73.58,74.18,6764400,72.93,72.6
516,6/4/2014,74.12,74.7,73.64,74.67,6495800,73.33,73.08
517,6/5/2014,74.36,75.14,74.2,74.72,5187400,73.71,73.51
518,6/6/2014,75.06,75.54,74.8,75.33,6204800,73.86,73.56
519,6/9/2014,75.38,75.4,74.65,75.18,5701000,74.16,73.78
520,6/10/2014,75.25,75.44,74.32,74.6,6641000,74.45,74.12
521,6/11/2014,74.14,74.87,73.85,74.8,7510800,74.65,74.47
522,6/12/2014,74.69,74.7,73.73,73.96,7193800,74.78,74.71
523,6/13/2014,73.87,74.9,73.53,74.69,7708800,74.75,74.85
524,6/16/2014,74.48,75.16,74.46,75.09,6759600,74.75,74.87
525,6/17/2014,75.03,75.65,74.99,75.31,5778600,74.81,74.89
526,6/18/2014,75.2,75.68,74.6,75.56,5786600,74.8,74.76
527,6/19/2014,76.55,77.5,76.46,77.23,12555000,74.86,74.68
528,6/20/2014,77.63,77.63,76.41,76.6,12436000,75.23,74.84
529,6/23/2014,76.69,77.27,76.19,76.73,4779800,75.49,75.01
530,6/24/2014,76.9,77.75,76.54,77.43,10912400,75.89,75.49
531,6/25/2014,77.04,78.18,76.96,78.12,7813800,76.28,75.89
532,6/26/2014,78.01,78.33,77.47,78.06,6983200,76.71,76.29
533,6/27/2014,77.96,78.35,77.79,77.94,8669200,77.1,76.74
534,6/30/2014,78.1,78.19,77.08,77.38,9610000,77.44,77.21
535,7/1/2014,77.89,78.2,77.6,78.08,8061400,77.47,77.27
536,7/2/2014,78.38,78.41,77.91,78.19,4785200,77.68,77.54
537,7/3/2014,78.39,79.4,78.14,79.06,6662600,77.89,77.83
538,7/7/2014,78.78,79.38,78.61,78.69,7443600,78.12,78
539,7/8/2014,78.64,78.9,78.25,78.56,7802000,78.2,78.02
540,7/9/2014,78.54,79.48,78.36,79.45,7782600,78.27,78.08
541,7/10/2014,78.61,79.05,78.19,78.85,4720000,78.49,78.21
542,7/11/2014,78.96,78.99,78.14,78.6,4239400,78.7,78.54
543,7/14/2014,78.98,78.98,78.42,78.56,4562000,78.77,78.72
544,7/15/2014,78.65,79.15,78.46,78.89,8305600,78.82,78.87
545,7/16/2014,79.06,79.06,78.31,78.73,8615400,78.8,78.81
546,7/17/2014,78.12,78.46,77.12,77.24,8446400,78.81,78.84
547,7/18/2014,77.7,78.15,77.25,77.94,6744600,78.62,78.85
548,7/21/2014,77.86,77.93,77.17,77.61,5021000,78.4,78.59
549,7/22/2014,78.33,79.03,78.2,78.74,6457000,78.22,78.43
550,7/23/2014,78.51,79.28,78.4,79.14,6439800,78.24,78.34
551,7/24/2014,79.59,80.64,79.15,80.45,16129200,78.33,78.29
552,7/25/2014,78.4,79.32,77.9,78.74,18974600,78.55,78.2
553,7/28/2014,78.8,79,78.17,78.36,8013000,78.55,78.16
554,7/29/2014,78.49,79.25,78.41,78.65,7936000,78.71,78.52
555,7/30/2014,79,79.18,78.52,78.9,8911000,78.81,78.74
556,7/31/2014,78.52,78.7,77.52,77.68,8146000,79,79.09
557,8/1/2014,77.5,77.89,76.58,76.98,7797800,78.85,79.12
558,8/4/2014,77.26,77.76,77.03,77.53,6282600,78.54,78.97
559,8/5/2014,77.17,77.46,76.43,76.79,6694600,78.12,78.38
560,8/6/2014,76.5,77.44,76.27,77.13,5935200,77.84,78.16
561,8/7/2014,77.33,77.44,76.56,76.71,5428000,77.67,77.98
562,8/8/2014,76.63,77.67,76.51,77.62,5957200,77.39,77.67
563,8/11/2014,77.67,78.25,77.65,77.87,4513400,77.21,77.25
564,8/12/2014,77.87,78.14,77.52,77.82,4723600,77.23,77.13
565,8/13/2014,78.1,78.1,77.13,77.24,6935200,77.35,77.23
