Date,xCIVPART
1/1/2006,66.0
2/1/2006,66.1
3/1/2006,66.2
4/1/2006,66.1
5/1/2006,66.1
6/1/2006,66.2
7/1/2006,66.1
8/1/2006,66.2
9/1/2006,66.1
10/1/2006,66.2
11/1/2006,66.3
12/1/2006,66.4
1/1/2007,66.4
2/1/2007,66.3
3/1/2007,66.2
4/1/2007,65.9
5/1/2007,66.0
6/1/2007,66.0
7/1/2007,66.0
8/1/2007,65.8
9/1/2007,66.0
10/1/2007,65.8
11/1/2007,66.0
12/1/2007,66.0
1/1/2008,66.2
2/1/2008,66.0
3/1/2008,66.1
4/1/2008,65.9
5/1/2008,66.1
6/1/2008,66.1
7/1/2008,66.1
8/1/2008,66.1
9/1/2008,66.0
10/1/2008,66.0
11/1/2008,65.9
12/1/2008,65.8
1/1/2009,65.7
2/1/2009,65.8
3/1/2009,65.6
4/1/2009,65.7
5/1/2009,65.7
6/1/2009,65.7
7/1/2009,65.5
8/1/2009,65.4
9/1/2009,65.1
10/1/2009,65.0
11/1/2009,65.0
12/1/2009,64.6
1/1/2010,64.8
2/1/2010,64.9
3/1/2010,64.9
4/1/2010,65.2
5/1/2010,64.9
6/1/2010,64.6
7/1/2010,64.6
8/1/2010,64.7
9/1/2010,64.6
10/1/2010,64.4
11/1/2010,64.6
12/1/2010,64.3
1/1/2011,64.2
2/1/2011,64.1
3/1/2011,64.2
4/1/2011,64.2
5/1/2011,64.1
6/1/2011,64.0
7/1/2011,64.0
8/1/2011,64.1
9/1/2011,64.2
10/1/2011,64.1
11/1/2011,64.1
12/1/2011,64.0
1/1/2012,63.7
2/1/2012,63.8
3/1/2012,63.8
4/1/2012,63.7
5/1/2012,63.7
6/1/2012,63.8
7/1/2012,63.7
8/1/2012,63.5
9/1/2012,63.7
10/1/2012,63.8
11/1/2012,63.6
12/1/2012,63.7
1/1/2013,63.6
2/1/2013,63.4
3/1/2013,63.3
4/1/2013,63.4
5/1/2013,63.4
6/1/2013,63.4
7/1/2013,63.3
8/1/2013,63.2
9/1/2013,63.3
10/1/2013,62.8
11/1/2013,63.0
12/1/2013,62.9
1/1/2014,62.9
2/1/2014,63.0
3/1/2014,63.2
4/1/2014,62.8
5/1/2014,62.8
6/1/2014,62.8
7/1/2014,62.9
8/1/2014,62.9
9/1/2014,62.8
10/1/2014,62.9
11/1/2014,62.9
12/1/2014,62.7
1/1/2015,62.9
2/1/2015,62.8
3/1/2015,62.7
4/1/2015,62.7
5/1/2015,62.8
6/1/2015,62.6
7/1/2015,62.6
8/1/2015,62.6
9/1/2015,62.4
10/1/2015,62.5
11/1/2015,62.5
12/1/2015,62.6