Date,UNRATE
1/1/2006,4.7
2/1/2006,4.8
3/1/2006,4.7
4/1/2006,4.7
5/1/2006,4.6
6/1/2006,4.6
7/1/2006,4.7
8/1/2006,4.7
9/1/2006,4.5
10/1/2006,4.4
11/1/2006,4.5
12/1/2006,4.4
1/1/2007,4.6
2/1/2007,4.5
3/1/2007,4.4
4/1/2007,4.5
5/1/2007,4.4
6/1/2007,4.6
7/1/2007,4.7
8/1/2007,4.6
9/1/2007,4.7
10/1/2007,4.7
11/1/2007,4.7
12/1/2007,5.0
1/1/2008,5.0
2/1/2008,4.9
3/1/2008,5.1
4/1/2008,5.0
5/1/2008,5.4
6/1/2008,5.6
7/1/2008,5.8
8/1/2008,6.1
9/1/2008,6.1
10/1/2008,6.5
11/1/2008,6.8
12/1/2008,7.3
1/1/2009,7.8
2/1/2009,8.3
3/1/2009,8.7
4/1/2009,9.0
5/1/2009,9.4
6/1/2009,9.5
7/1/2009,9.5
8/1/2009,9.6
9/1/2009,9.8
10/1/2009,10.0
11/1/2009,9.9
12/1/2009,9.9
1/1/2010,9.8
2/1/2010,9.8
3/1/2010,9.9
4/1/2010,9.9
5/1/2010,9.6
6/1/2010,9.4
7/1/2010,9.4
8/1/2010,9.5
9/1/2010,9.5
10/1/2010,9.4
11/1/2010,9.8
12/1/2010,9.3
1/1/2011,9.1
2/1/2011,9.0
3/1/2011,9.0
4/1/2011,9.1
5/1/2011,9.0
6/1/2011,9.1
7/1/2011,9.0
8/1/2011,9.0
9/1/2011,9.0
10/1/2011,8.8
11/1/2011,8.6
12/1/2011,8.5
1/1/2012,8.3
2/1/2012,8.3
3/1/2012,8.2
4/1/2012,8.2
5/1/2012,8.2
6/1/2012,8.2
7/1/2012,8.2
8/1/2012,8.1
9/1/2012,7.8
10/1/2012,7.8
11/1/2012,7.7
12/1/2012,7.9
1/1/2013,8.0
2/1/2013,7.7
3/1/2013,7.5
4/1/2013,7.6
5/1/2013,7.5
6/1/2013,7.5
7/1/2013,7.3
8/1/2013,7.3
9/1/2013,7.3
10/1/2013,7.2
11/1/2013,6.9
12/1/2013,6.7
1/1/2014,6.6
2/1/2014,6.7
3/1/2014,6.7
4/1/2014,6.2
5/1/2014,6.2
6/1/2014,6.1
7/1/2014,6.2
8/1/2014,6.2
9/1/2014,6.0
10/1/2014,5.7
11/1/2014,5.8
12/1/2014,5.6
1/1/2015,5.7
2/1/2015,5.5
3/1/2015,5.5
4/1/2015,5.4
5/1/2015,5.5
6/1/2015,5.3
7/1/2015,5.3
8/1/2015,5.1
9/1/2015,5.1
10/1/2015,5.0
11/1/2015,5.0
12/1/2015,5.0