Date,GFDEGDQ188S
1/1/2006,61.33209
4/1/2006,61.01568
7/1/2006,61.16385
10/1/2006,61.70892
1/1/2007,62.17621
4/1/2007,61.48587
7/1/2007,61.82456
10/1/2007,62.84633
1/1/2008,64.33963
4/1/2008,64.07889
7/1/2008,67.53840
10/1/2008,73.53868
1/1/2009,77.35691
4/1/2009,80.50874
7/1/2009,82.79856
10/1/2009,84.51824
1/1/2010,87.00386
4/1/2010,88.67047
7/1/2010,90.06437
10/1/2010,92.08819
1/1/2011,93.64575
4/1/2011,92.77007
7/1/2011,94.88834
10/1/2011,96.43744
1/1/2012,97.70011
4/1/2012,98.34472
7/1/2012,99.00382
10/1/2012,100.83100
1/1/2013,102.01136
4/1/2013,101.27986
7/1/2013,100.06385
10/1/2013,101.17068
1/1/2014,103.63233
4/1/2014,102.09963
7/1/2014,101.72337
10/1/2014,102.98335
1/1/2015,102.84859
4/1/2015,101.33026