Date,PCE
1/1/2006,9100.1
2/1/2006,9134.7
3/1/2006,9168.1
4/1/2006,9223.3
5/1/2006,9254.1
6/1/2006,9283.8
7/1/2006,9360.4
8/1/2006,9368.6
9/1/2006,9393.9
10/1/2006,9413.3
11/1/2006,9431.2
12/1/2006,9516.5
1/1/2007,9553.1
2/1/2007,9590.8
3/1/2007,9631.6
4/1/2007,9670.6
5/1/2007,9708.9
6/1/2007,9723.3
7/1/2007,9759.6
8/1/2007,9800.6
9/1/2007,9837.5
10/1/2007,9853.9
11/1/2007,9928.6
12/1/2007,9947.6
1/1/2008,9963.2
2/1/2008,9955.7
3/1/2008,10004.2
4/1/2008,10044.6
5/1/2008,10093.3
6/1/2008,10149.4
7/1/2008,10151.1
8/1/2008,10140.3
9/1/2008,10083.2
10/1/2008,9983.3
11/1/2008,9851.2
12/1/2008,9744.2
1/1/2009,9792.1
2/1/2009,9775.7
3/1/2009,9742.9
4/1/2009,9741.9
5/1/2009,9759.7
6/1/2009,9807.6
7/1/2009,9835.2
8/1/2009,9961.9
9/1/2009,9875.4
10/1/2009,9924.6
11/1/2009,9946.1
12/1/2009,10000.6
1/1/2010,10003.4
2/1/2010,10034.7
3/1/2010,10095.5
4/1/2010,10106.9
5/1/2010,10140.2
6/1/2010,10165.9
7/1/2010,10184.3
8/1/2010,10247.1
9/1/2010,10268.9
10/1/2010,10343.7
11/1/2010,10399.8
12/1/2010,10436.1
1/1/2011,10474.7
2/1/2011,10512.4
3/1/2011,10583.5
4/1/2011,10624.6
5/1/2011,10653.1
6/1/2011,10676.4
7/1/2011,10727.1
8/1/2011,10745.6
9/1/2011,10790.6
10/1/2011,10827.6
11/1/2011,10828.7
12/1/2011,10827.3
1/1/2012,10905.6
2/1/2012,10975.9
3/1/2012,10987.2
4/1/2012,11017.4
5/1/2012,11010.3
6/1/2012,10997.4
7/1/2012,11034.9
8/1/2012,11054.9
9/1/2012,11131.0
10/1/2012,11144.7
11/1/2012,11161.7
12/1/2012,11186.5
1/1/2013,11231.9
2/1/2013,11290.4
3/1/2013,11293.1
4/1/2013,11280.5
5/1/2013,11320.7
6/1/2013,11367.3
7/1/2013,11387.4
8/1/2013,11400.7
9/1/2013,11465.0
10/1/2013,11502.8
11/1/2013,11565.9
12/1/2013,11601.9
1/1/2014,11559.8
2/1/2014,11643.2
3/1/2014,11717.9
4/1/2014,11766.8
5/1/2014,11802.0
6/1/2014,11870.2
7/1/2014,11893.3
8/1/2014,11966.6
9/1/2014,11987.3
10/1/2014,12041.4
11/1/2014,12075.2
12/1/2014,12067.6
1/1/2015,12018.6
2/1/2015,12042.7
3/1/2015,12105.0
4/1/2015,12146.3
5/1/2015,12250.5
6/1/2015,12288.2
7/1/2015,12326.6
8/1/2015,12363.6
9/1/2015,12386.7
10/1/2015,12390.5
11/1/2015,12430.7